S1 Real/Imag g,S1  0-Z:0-Z,S2 Real/Imag g,S2 0-Z:0-Z
(0.0005930967918292795+0j),(-0.0006421053261501085+0.0006388997754053269j),(0.0005930967918292795+0j),(0.00023931434806114614-0.00021485355050939643j)
(0.0006026628691168486+0j),(0.0002677941616194722+0.00043924891309691095j),(0.0006026628691168486+0j),(0.0002721266381848469-8.171117738190698e-05j)
(0.0006122289464044175+0j),(-0.00027037356461014794+3.5632379107992076e-05j),(0.0006122289464044175+0j),(0.00014352120885286057-0.0002251515013510833j)
(0.0006217950236919866+0j),(0.00015616016370470674+0.0008603638336005918j),(0.0006217950236919866+0j),(-0.00031419386830922215+0.00021344605291402164j)
(0.0006313611009795557+0j),(-7.996839347637047e-05+0.0005146242511818134j),(0.0006313611009795557+0j),(-0.00021022888077269677-0.00033498652519372624j)
(0.0006409271782671247+0j),(0.00011294364002656688+0.0005063477882137959j),(0.0006409271782671247+0j),(-0.0003828683692872654-5.828016622768798e-05j)
(0.0006504932555546937+0j),(-0.0001614123360801644+6.499229498259821e-05j),(0.0006504932555546937+0j),(-0.00023200727088392123-0.000622175741960351j)
(0.0006600593328422627+0j),(-0.00017509702342219838+0.0002562768537636165j),(0.0006600593328422627+0j),(-0.0002166852514168196-5.328150698829631e-05j)
(0.0006696254101298318+0j),(0.00045833551362489515+9.082347201231464e-05j),(0.0006696254101298318+0j),(-3.614956110187211e-05-0.0004728187728688559j)
(0.0006791914874174007+0j),(-0.000179265820229256-0.0001832390411756999j),(0.0006791914874174007+0j),(-7.80007575186348e-05-0.00036084881821052807j)
(0.0006887575647049698+0j),(0.0005498210064534911+0.00017792948329362583j),(0.0006887575647049698+0j),(0.0002185387428829967-0.0005628989397362514j)
(0.0006983236419925388+0j),(-0.00028183673123461696+2.8815571636973482e-05j),(0.0006983236419925388+0j),(0.0005317121114184998+7.745783789440939e-05j)
(0.0007078897192801079+0j),(0.00020818827919668847+0.00039804743809614135j),(0.0007078897192801079+0j),(-0.000658219763969393+0.00013221743972268614j)
(0.0007174557965676768+0j),(0.00017185734115019078+0.00030421915895978343j),(0.0007174557965676768+0j),(-0.0006484245795895222+2.8552358345275037e-05j)
