S1 Real/Imag g,S1  0-Z:0-Z,S2 Real/Imag g,S2 0-Z:0-Z
(0.008475544476786155+0j),(-0.003385072740416811-0.0026850554118364807j),(0.008475544476786155+0j),(-0.004049628544208038-3.4409019477325015e-05j)
(0.008485110554073725+0j),(-0.0036181443384884866-0.00241755380631243j),(0.008485110554073725+0j),(-0.0046053717860676914+0.001020661342018989j)
(0.008494676631361294+0j),(-0.002860423651474343-0.0014647904997858764j),(0.008494676631361294+0j),(-0.0024227633607605205+0.0002276263168280432j)
(0.008504242708648862+0j),(-0.0018461699389995306-0.002477110580466848j),(0.008504242708648862+0j),(-0.003120463926843878+0.0003887805867361358j)
(0.008513808785936432+0j),(-0.0036629618384727103+0.0005276877159071547j),(0.008513808785936432+0j),(-0.0015092149938765328-0.0007659706831574963j)
(0.008523374863224001+0j),(-0.004849620809835953-0.0013519244093222922j),(0.008523374863224001+0j),(-0.003002951701548883+0.002145193761603108j)
(0.00853294094051157+0j),(-0.0034673190108749784-0.003029682122496189j),(0.00853294094051157+0j),(-0.0038430493236741455-0.00015596303739961353j)
(0.008542507017799138+0j),(-0.0027949718524457106-0.0016433412123776356j),(0.008542507017799138+0j),(-0.0026808140285654587-0.0010271551900805096j)
(0.008552073095086708+0j),(-0.0032818336409968286-0.0030574595666567773j),(0.008552073095086708+0j),(-0.004348549812387864-0.00022401242402074568j)
(0.008561639172374277+0j),(-0.0015301186801607496-0.0036513551600327178j),(0.008561639172374277+0j),(-0.0048661297526138856-0.0009658471132768707j)
(0.008571205249661847+0j),(-0.0020079017558393246-0.0030714988198602853j),(0.008571205249661847+0j),(-0.003433941812424967+0.00013140051313738295j)
(0.008580771326949415+0j),(-0.000598257015878132-0.0013551350172399856j),(0.008580771326949415+0j),(-0.0012105839591460578-0.0013757825196621008j)
(0.008590337404236984+0j),(-0.0010154533120947282-0.0035216402927248334j),(0.008590337404236984+0j),(-0.003931859834551074-0.0007196135013696365j)
(0.008599903481524554+0j),(-0.000966191096178833-0.0028582320137552j),(0.008599903481524554+0j),(-0.004371159375146969-0.002050219820669083j)
(0.008609469558812123+0j),(-0.0025181375917172144-0.0029321165829065752j),(0.008609469558812123+0j),(-0.004105717357151383-0.0012498744266849866j)
(0.00861903563609969+0j),(-0.0019963734618681636-0.002207170883428878j),(0.00861903563609969+0j),(-0.002793717917136158-0.0014026006476026125j)
(0.00862860171338726+0j),(-0.0030491758620311412-0.002506359912702165j),(0.00862860171338726+0j),(-0.0029076280907318294+0.00011664927631015165j)
(0.00863816779067483+0j),(-0.004330187926921411-0.0030004776263474198j),(0.00863816779067483+0j),(-0.0036641264539893333+0.0004388520461911426j)
(0.008647733867962398+0j),(-0.004307951870790275-0.002365141046006019j),(0.008647733867962398+0j),(-0.003668078715008701+0.0016317393239868013j)
(0.008657299945249967+0j),(-0.0015797334649872883-0.004675745788015969j),(0.008657299945249967+0j),(-0.003211592746736373-0.0040502574662460425j)
(0.008666866022537537+0j),(-0.00183593851577251-0.0020459201860850568j),(0.008666866022537537+0j),(-0.0023900598073052807-0.0006493580274954333j)
(0.008676432099825106+0j),(-0.002337136651343716-0.001674105630075189j),(0.008676432099825106+0j),(-0.0021464972461407847-0.0013981320897145202j)
(0.008685998177112674+0j),(-0.002251684827473489-0.0023088834973756453j),(0.008685998177112674+0j),(-0.0025157680344343896-0.00044438307826107705j)
(0.008695564254400243+0j),(-0.0011532547692717245-0.0007064258838481985j),(0.008695564254400243+0j),(-0.001563149606250064-0.0013527295208947633j)
(0.008705130331687813+0j),(-0.003463192956900748-0.0021695612592453044j),(0.008705130331687813+0j),(-0.0025264388845450832-0.00043707709925464787j)
(0.008714696408975382+0j),(-0.003350176623856088-0.0050876209029166305j),(0.008714696408975382+0j),(-0.00302363383571447-0.001310176678849292j)
(0.00872426248626295+0j),(-0.003018621988197998-0.002816111225412721j),(0.00872426248626295+0j),(-0.003740752023112511+0.00019380947450547945j)
(0.00873382856355052+0j),(-0.0023065915671376296-0.0033132544228142414j),(0.00873382856355052+0j),(-0.0031132727828227296-0.0010647975337441586j)
(0.008743394640838089+0j),(-0.0026604677493596396-0.003075402990218074j),(0.008743394640838089+0j),(-0.003177280794485076-0.001870944295655712j)
(0.008752960718125658+0j),(-0.002527993555141292-0.003982131605821214j),(0.008752960718125658+0j),(-0.0038846672828880186-0.001495778698631385j)
(0.008762526795413226+0j),(-0.0036867776671696754-0.004216653773501443j),(0.008762526795413226+0j),(-0.003815401707467214-0.00181737324052655j)
(0.008772092872700796+0j),(-0.0019658587745806457-0.002601699945308226j),(0.008772092872700796+0j),(-0.0012911372276300447-0.002615915795406282j)
(0.008781658949988365+0j),(-0.0010803890277201846+0.0003477112944817876j),(0.008781658949988365+0j),(-0.0007953138635262021+0.0003425382122786931j)
(0.008791225027275933+0j),(-0.004182235202979978-0.0018351021900024484j),(0.008791225027275933+0j),(-0.003289629665721237+0.00045738588909977583j)
(0.008800791104563502+0j),(-0.0026140088430394314-0.0034064215856654907j),(0.008800791104563502+0j),(-0.0027592203134377004-0.0019485926783648863j)
(0.008810357181851072+0j),(-0.0028003676191926345-0.001602798777062743j),(0.008810357181851072+0j),(-0.002251950169733305-0.0008160746477893461j)
(0.008819923259138641+0j),(-0.0016683488649705468-0.0022969019190562487j),(0.008819923259138641+0j),(-0.0028362662014799873-0.0018250528601304042j)
(0.00882948933642621+0j),(0.00042448638206624595-0.00770202277483413j),(0.00882948933642621+0j),(-0.002319852306079132-0.004617357024478395j)
(0.008839055413713779+0j),(-1.163543310338415e-05-0.009346999210807496j),(0.008839055413713779+0j),(-0.0011506369839741658-0.006135663955261319j)
(0.008848621491001348+0j),(-0.00215510804554045-0.0016033835570410796j),(0.008848621491001348+0j),(-0.002013641061399221+0.001260945342132155j)
(0.008858187568288918+0j),(-0.002122336862490659-0.003221004192709349j),(0.008858187568288918+0j),(-0.0030210695484330697-0.000645665003216063j)
(0.008867753645576485+0j),(-0.002992797425792221-0.0037762001736732402j),(0.008867753645576485+0j),(-0.0035769672860943226-0.0018136357289299334j)
(0.008877319722864055+0j),(-0.002798069837083722-0.002541635825979032j),(0.008877319722864055+0j),(-0.0024003296535187093-0.001343566182372885j)
(0.008886885800151624+0j),(-0.005203923619488216-0.004410927542094739j),(0.008886885800151624+0j),(-0.0049520268636887126-0.0019026189841164823j)
(0.008896451877439194+0j),(-0.007119099106863512+0.0024564253544287064j),(0.008896451877439194+0j),(-0.0066289344238265845+0.0033241050827725895j)
(0.008906017954726762+0j),(0.004284973770094799+0.0006498955785249813j),(0.008906017954726762+0j),(0.0033514616481976765+0.004351453272954675j)
(0.008915584032014331+0j),(-0.000672563823548686-0.004808673546190578j),(0.008915584032014331+0j),(-0.000923732275537083-0.0037329073679131645j)
(0.0089251501093019+0j),(0.000638922628489691-0.003802756097285444j),(0.0089251501093019+0j),(-0.0001208732416935393-0.0014339431180140237j)
(0.008934716186589468+0j),(-0.001049837040299724-0.0055778239495983305j),(0.008934716186589468+0j),(-0.0021020553340479102-0.002483021186806876j)
(0.008944282263877038+0j),(0.004425971907147507-0.005046107762482106j),(0.008944282263877038+0j),(0.0012203506950218556-0.004354692538007545j)
(0.008953848341164607+0j),(0.002749635485861636-0.011408640319746774j),(0.008953848341164607+0j),(0.0007397854889837047-0.010212279269725896j)
(0.008963414418452177+0j),(-0.01638275320049168-0.010537989238154686j),(0.008963414418452177+0j),(-0.014807162212397402-0.010775997979720644j)
(0.008972980495739745+0j),(0.0022787831028864215+0.011713807068717904j),(0.008972980495739745+0j),(0.004146526178126838+0.014427968420423426j)
(0.008982546573027314+0j),(-0.002646058649888252-0.0010633000124854381j),(0.008982546573027314+0j),(-0.003280973616883105+0.0008582724380053197j)
(0.008992112650314884+0j),(0.0028539918097437544+0.0005747149599793326j),(0.008992112650314884+0j),(0.0016597963672492135+0.00230255333813645j)
(0.009001678727602453+0j),(0.0026792392354034983+0.0005448683760912678j),(0.009001678727602453+0j),(0.0011333134043327061+0.0017772626065554015j)
(0.00901124480489002+0j),(0.007030304665566655+0.011328873108079954j),(0.00901124480489002+0j),(0.004794414492937928+0.012389831429891226j)
(0.00902081088217759+0j),(0.022352222958294848+0.004290935107875612j),(0.00902081088217759+0j),(0.018893567523828383+0.0064592472191861644j)
(0.00903037695946516+0j),(-0.029801835543195675-0.037913668393535584j),(0.00903037695946516+0j),(-0.02821791204719215-0.03419802491175214j)
(0.00903994303675273+0j),(-0.0004713524128423698-0.015817632160499587j),(0.00903994303675273+0j),(0.0023550961659581423-0.01361360900828529j)
(0.009049509114040297+0j),(-0.0035418299727965966-0.016335990722253828j),(0.009049509114040297+0j),(-0.0046215987250697275-0.012578169951075097j)
(0.009059075191327867+0j),(-0.0016038594325629178-0.008883702222003674j),(0.009059075191327867+0j),(-0.0020444353270160304-0.006926113253278977j)
(0.009068641268615436+0j),(-0.005050641367987136-0.017106705757258815j),(0.009068641268615436+0j),(-0.0068051770267570505-0.013298468622503971j)
(0.009078207345903004+0j),(-0.006542704097965411+0.0224246270524529j),(0.009078207345903004+0j),(-0.007926117234924793+0.021771532076773188j)
(0.009087773423190573+0j),(0.049114068724456866+0.07800439305789228j),(0.009087773423190573+0j),(0.04026843062959099+0.06871374843660533j)
(0.009097339500478143+0j),(-0.014578196580218493-0.060074290644885654j),(0.009097339500478143+0j),(-0.017590480786345716-0.05991037005023459j)
(0.009106905577765712+0j),(0.011711011621120286-0.025445283223951235j),(0.009106905577765712+0j),(0.010744501673521535-0.019567585760649455j)
(0.00911647165505328+0j),(0.00646935225612091-0.03989630717143395j),(0.00911647165505328+0j),(0.004348803106309921-0.03515341172055013j)
(0.00912603773234085+0j),(0.013738370368368343-0.03058986793253701j),(0.00912603773234085+0j),(0.011497427729232367-0.025339035285389323j)
(0.009135603809628419+0j),(0.05243842658767563-0.060448944580546844j),(0.009135603809628419+0j),(0.04402683349467119-0.05552096208839245j)
(0.009145169886915988+0j),(-0.006133613471282246-0.0676521053094942j),(0.009145169886915988+0j),(-0.009953450046758277-0.057127555398577785j)
(0.009154735964203556+0j),(-0.14931923830666832+0.24310872450781798j),(0.009154735964203556+0j),(-0.12224895237036175+0.23627485646852642j)
(0.009164302041491126+0j),(-0.06655610520272827-0.027361411275071232j),(0.009164302041491126+0j),(-0.06273895021643536-0.019565891848590675j)
(0.009173868118778695+0j),(-0.04532043083726419+0.018772436347686914j),(0.009173868118778695+0j),(-0.040045452711086144+0.021958696061700193j)
(0.009183434196066265+0j),(-0.03150717619392914-0.012355243845408061j),(0.009183434196066265+0j),(-0.028765335294783544-0.006295249219728924j)
(0.009193000273353832+0j),(-0.03022415401984756-0.01055901537816658j),(0.009193000273353832+0j),(-0.029451524187592087-0.004862852950944994j)
(0.009202566350641402+0j),(0.01754792566818135-0.14769124261102273j),(0.009202566350641402+0j),(0.0030021670153896414-0.1295763554220531j)
(0.009212132427928971+0j),(-0.05382049163893054-0.35682252839584616j),(0.009212132427928971+0j),(-0.08067875440315812-0.3080820313855993j)
(0.00922169850521654+0j),(0.02211371879466756+0.23920511983258771j),(0.00922169850521654+0j),(0.03655026383173666+0.21454238059452194j)
(0.009231264582504109+0j),(-0.08914792521938159+0.048715927552953495j),(0.009231264582504109+0j),(-0.07645229057739893+0.05424944115786006j)
(0.009240830659791678+0j),(-0.033622647718895296+0.04301036176907292j),(0.009240830659791678+0j),(-0.028234811285266767+0.04423359789983142j)
(0.009250396737079248+0j),(-0.05114972083939494-0.016571928449236946j),(0.009250396737079248+0j),(-0.04768652221080507-0.010360600868901679j)
(0.009259962814366815+0j),(-0.1456236806276002-0.040277463556254195j),(0.009259962814366815+0j),(-0.14041362737843166-0.021853960122271938j)
(0.009269528891654385+0j),(0.08654880390215855+0.12982732965526975j),(0.009269528891654385+0j),(0.08951773790914452+0.12273151403940435j)
(0.009279094968941954+0j),(1.1995309165599795-0.09176195803937155j),(0.009279094968941954+0j),(1.1180264462099205-0.18408294348561485j)
(0.009288661046229524+0j),(-0.037611872919161904+0.17596316172420826j),(0.009288661046229524+0j),(-0.017446461703764946+0.16550465386475854j)
(0.009298227123517092+0j),(0.13855777722299545-0.07896027224534868j),(0.009298227123517092+0j),(0.1285414492586947-0.0835738403317694j)
(0.009307793200804661+0j),(0.06253761017299836+0.021533516023532387j),(0.009307793200804661+0j),(0.062482360796481555+0.017687186413922456j)
(0.00931735927809223+0j),(0.04585572962645978+0.015139863825854279j),(0.00931735927809223+0j),(0.04587279098963831+0.014934499150075905j)
(0.009326925355379798+0j),(0.06340939028176079+0.12871227401205876j),(0.009326925355379798+0j),(0.06833479311943338+0.12916784872097933j)
(0.009336491432667368+0j),(0.13097908135919856+0.11748459427081334j),(0.009336491432667368+0j),(0.13396398641555732+0.11673649175266052j)
(0.009346057509954937+0j),(-0.12151341861397301-0.17097638309011914j),(0.009346057509954937+0j),(-0.1343645086352379-0.1805468498003215j)
(0.009355623587242507+0j),(0.03915752502886146-0.026657267569104512j),(0.009355623587242507+0j),(0.03961971683550049-0.031685868968197715j)
(0.009365189664530075+0j),(-0.018814983077196222-0.025937589261119255j),(0.009365189664530075+0j),(-0.020847145043427075-0.029010433876400128j)
(0.009374755741817644+0j),(-0.0012488290868136514-0.014722835768240267j),(0.009374755741817644+0j),(-0.0019288016088125715-0.016802593679329965j)
(0.009384321819105213+0j),(0.0028627640221438565-0.02427109205285827j),(0.009384321819105213+0j),(0.0010350678686429696-0.02485898619415843j)
(0.009393887896392783+0j),(0.029118537894926286+0.05511458607203313j),(0.009393887896392783+0j),(0.037148704062202505+0.04961798825527721j)
(0.00940345397368035+0j),(0.17859721685960714+0.1304133931338509j),(0.00940345397368035+0j),(0.18403552357876565+0.10541915806182903j)
(0.00941302005096792+0j),(-0.05387981906305489-0.010966944976744978j),(0.00941302005096792+0j),(-0.05334374119560622-0.009375507051312678j)
(0.00942258612825549+0j),(0.024584873717810225-0.011905772620843608j),(0.00942258612825549+0j),(0.022101409860271745-0.016140478975909516j)
(0.00943215220554306+0j),(0.0010416451655799104-0.006898652555984456j),(0.00943215220554306+0j),(-0.0007177468965837051-0.009497184326466164j)
(0.009441718282830627+0j),(0.0008963402343698627-0.001592284477235491j),(0.009441718282830627+0j),(0.0007882536560139138-0.0030712271308244435j)
(0.009451284360118196+0j),(-0.015220293317310047-0.0039264358683861085j),(0.009451284360118196+0j),(-0.014824997613494633-0.0037974883117658726j)
(0.009460850437405766+0j),(-0.025388619931621843+0.0029745870163687673j),(0.009460850437405766+0j),(-0.020498756790437552+0.008908208979282043j)
(0.009470416514693334+0j),(0.026946237962854343-0.018554804472707093j),(0.009470416514693334+0j),(0.019701354766722395-0.026182005729396204j)
(0.009479982591980903+0j),(0.004139984657690278+0.007727954553972641j),(0.009479982591980903+0j),(0.004607024928663949+0.0055955983281208805j)
(0.009489548669268473+0j),(0.0038928926930874483-0.0038197765157855176j),(0.009489548669268473+0j),(0.0010751577269883974-0.003863910945300187j)
(0.009499114746556042+0j),(0.002234436637787279-0.0022143574660016853j),(0.009499114746556042+0j),(0.0010066097572044277-0.00441415183739149j)
(0.00950868082384361+0j),(0.007078112163615166-0.0023218224083989183j),(0.00950868082384361+0j),(0.004516232702837455-0.0033566891241681965j)
(0.00951824690113118+0j),(0.0012863811710556426+0.004005166979437408j),(0.00951824690113118+0j),(-0.0010777597045462082+0.004019949304325026j)
(0.009527812978418749+0j),(-0.0029479864313655384+0.020860963184407017j),(0.009527812978418749+0j),(0.003576700968715375+0.01849465228565033j)
(0.009537379055706318+0j),(-0.003304911921882972-0.005995967511610412j),(0.009537379055706318+0j),(-0.0040655948226420435-0.005093106981448559j)
(0.009546945132993886+0j),(0.0022146349832960223+0.0007774083967685186j),(0.009546945132993886+0j),(0.0015125417677851788+0.0009601448375086626j)
(0.009556511210281456+0j),(0.0010550683669803501-0.0011032362806841802j),(0.009556511210281456+0j),(0.0004761317777023972-0.0016725464892905072j)
(0.009566077287569025+0j),(0.0011125236656690963-0.0008492298988786993j),(0.009566077287569025+0j),(-5.295176315511071e-05-0.00017154478191645835j)
(0.009575643364856595+0j),(-0.0007502938707293831-0.0012817326083808987j),(0.009575643364856595+0j),(-0.0020730351782027524-0.0025859867311323345j)
(0.009585209442144162+0j),(-0.0028676305788497077-0.0010611522123953414j),(0.009585209442144162+0j),(-0.003899511189708797-0.0010324000558348942j)
(0.009594775519431732+0j),(0.0010606825933971709-0.0007042391228916442j),(0.009594775519431732+0j),(0.0026190412532777767-0.004552519259682152j)
(0.009604341596719301+0j),(0.0003283619497212624+0.0008564533036019378j),(0.009604341596719301+0j),(0.00017256240424592893+0.00021289108131397925j)
(0.009613907674006869+0j),(0.0003161669288275273-0.0005532970618509077j),(0.009613907674006869+0j),(0.0002822911361853927-0.0012879375154980883j)
(0.009623473751294439+0j),(0.0016255838824634277-0.00014657001233887938j),(0.009623473751294439+0j),(0.001355561783734127-0.0005792391792471618j)
(0.009633039828582008+0j),(0.0016899384436870587+0.0003104583384352307j),(0.009633039828582008+0j),(0.0018977625810723446-0.00034267991690886316j)
(0.009642605905869578+0j),(0.0009660168247725356+0.0008025301944399386j),(0.009642605905869578+0j),(0.0005552059931268957+0.001313263374151135j)
(0.009652171983157145+0j),(-0.0009550226650482038-0.0005284489373915169j),(0.009652171983157145+0j),(-0.0012280598239116712+0.00045221291131278344j)
(0.009661738060444715+0j),(-0.002832910543966971+0.00030537488180951925j),(0.009661738060444715+0j),(-0.0027314264027172874-0.0007076973746160707j)
(0.009671304137732284+0j),(0.0008719624248178979-0.000990098320685189j),(0.009671304137732284+0j),(0.00039256892147146634-0.0015493924772107097j)
(0.009680870215019854+0j),(0.00046021837318092646+0.00020993526465441081j),(0.009680870215019854+0j),(-0.0005491199977544065+5.091945316469355e-05j)
(0.009690436292307422+0j),(9.362762816980536e-06+0.00023782664062226464j),(0.009690436292307422+0j),(-0.0006904417182028508+0.0003541981014836694j)
(0.009700002369594991+0j),(-0.00015559946095018617+5.086295024613951e-05j),(0.009700002369594991+0j),(-0.0005800923423728383-0.0008009945711590273j)
(0.00970956844688256+0j),(0.0003475812617080459+0.0007320191699296255j),(0.00970956844688256+0j),(0.00020052076419854885-0.0009629844150565445j)
(0.00971913452417013+0j),(0.0016846524098739473-0.001620637710623454j),(0.00971913452417013+0j),(0.0015350379593338755-0.0004572395536909194j)
(0.009728700601457698+0j),(-0.0021459817663801975-0.0003923389194929288j),(0.009728700601457698+0j),(-0.003016707631870604-9.027020461867103e-05j)
(0.009738266678745267+0j),(-0.00039074021209483035-0.00015686928784905592j),(0.009738266678745267+0j),(-0.0005595279296428631+5.330896031438904e-05j)
(0.009747832756032837+0j),(0.00021001004435763682+0.0002829849057306592j),(0.009747832756032837+0j),(0.0004203653506269416+0.0011145781858134507j)
(0.009757398833320404+0j),(6.508467698597343e-05+0.0005177515930897791j),(0.009757398833320404+0j),(-0.000721004676035789+0.000145983751912765j)
(0.009766964910607974+0j),(-0.0011874983620345108-0.0013478377673100405j),(0.009766964910607974+0j),(-0.0012736248722493885-0.0008054816557058873j)
(0.009776530987895543+0j),(-5.773457608802003e-05+0.0011244561211547614j),(0.009776530987895543+0j),(0.0007796633171757512+0.0012952724724569211j)
(0.009786097065183113+0j),(0.0008631211483361384-0.00045202926393779133j),(0.009786097065183113+0j),(0.0016292898591727559+0.0002350352276286631j)
(0.00979566314247068+0j),(0.0018262701341748757-0.0008069623580575187j),(0.00979566314247068+0j),(0.0009952133818667082-0.0004893369332292128j)
(0.00980522921975825+0j),(-5.483152505973005e-05-0.0009908790909630488j),(0.00980522921975825+0j),(0.0003175395335492696-0.0010071682300844692j)
(0.00981479529704582+0j),(0.0003156393448168777-0.0006122073497553349j),(0.00981479529704582+0j),(-0.0009291070250000903-0.001012303310208822j)
(0.00982436137433339+0j),(-0.00025699217925854995+0.0005147479495271585j),(0.00982436137433339+0j),(0.0006441565241205035+0.0010207225750921826j)
(0.009833927451620957+0j),(-0.00011476624020875262-0.0004389346662723576j),(0.009833927451620957+0j),(-0.0003227847704862446-0.0007997900536434266j)
(0.009843493528908526+0j),(0.0018530662495261328-0.0001296248117300648j),(0.009843493528908526+0j),(0.0006365377634145425+0.00041882279105379913j)
(0.009853059606196096+0j),(0.00014759274315655799+1.7356066698873344e-05j),(0.009853059606196096+0j),(0.0005733218355947243+8.880323988356644e-05j)
(0.009862625683483665+0j),(-0.000566123086931721-0.00020630447530895304j),(0.009862625683483665+0j),(7.503179832740374e-05-0.00045936105450702995j)
(0.009872191760771233+0j),(-0.00010526524984707806-0.0002075241699778267j),(0.009872191760771233+0j),(-0.0005348882137260218-0.00018135888091254965j)
(0.009881757838058803+0j),(0.0005187201564428952+0.0001670281128926727j),(0.009881757838058803+0j),(0.0002769880933156848-0.0008798595341944035j)
(0.009891323915346372+0j),(-0.00010757435336897722-3.913180974374745e-05j),(0.009891323915346372+0j),(-0.0008612155693836816-0.001263005957354025j)
(0.00990088999263394+0j),(-4.009689513369174e-05+0.00030333539193372626j),(0.00990088999263394+0j),(-0.0007478592517851234+0.0007449619720226283j)
(0.00991045606992151+0j),(0.00020991072189076895+0.001533974250883203j),(0.00991045606992151+0j),(-0.0011108563119949998+0.0021793438605312155j)
(0.009920022147209079+0j),(-0.00027511021074388183-0.000807990502379546j),(0.009920022147209079+0j),(-6.533856603930897e-05-0.0005536229348264301j)
(0.009929588224496648+0j),(0.00046596956048952756-3.3041956634361974e-05j),(0.009929588224496648+0j),(-0.000658353478604333-9.643073381717342e-05j)
(0.009939154301784216+0j),(0.0001224501194361501+0.0003636653779367836j),(0.009939154301784216+0j),(-0.00023665143569698993+0.0007300818890247406j)
(0.009948720379071786+0j),(0.00040558187134191666-0.00031192402735826354j),(0.009948720379071786+0j),(0.0005092618609872235+0.0006089811302123282j)
(0.009958286456359355+0j),(9.086913418299378e-05-0.000268590371688683j),(0.009958286456359355+0j),(-0.0006064708031798886-0.00010047325553771389j)
(0.009967852533646925+0j),(-0.0010999512587488477-4.0426844483510744e-05j),(0.009967852533646925+0j),(-0.001422790482680648+0.0006130921606203724j)
(0.009977418610934492+0j),(0.00025758613333004755-0.0007923657307542327j),(0.009977418610934492+0j),(0.0003862180379084625-0.00042342932672161495j)
(0.009986984688222062+0j),(-0.00020506762264708745-0.0001117173868194171j),(0.009986984688222062+0j),(-4.176998420327523e-06-0.000623105484412905j)
(0.009996550765509631+0j),(0.00025754504451228706+0.00025245302847607374j),(0.009996550765509631+0j),(5.911678805294028e-05+0.0009239046277707985j)
(0.0100061168427972+0j),(4.584613940689385e-05-7.777289355535275e-06j),(0.0100061168427972+0j),(0.0007944637366690782-0.00017763170931912666j)
(0.010015682920084769+0j),(0.0001371956129367588-0.00031152421983116665j),(0.010015682920084769+0j),(-0.00034206863299958564+7.293312710275517e-06j)
(0.010025248997372338+0j),(0.0003335799585433981-0.0007765038042983895j),(0.010025248997372338+0j),(-0.0002595657027640764-0.0009272081378252297j)
(0.010034815074659907+0j),(-0.0007237993335040003-0.00041033502136898005j),(0.010034815074659907+0j),(-0.0011196464515638976+0.00080287117811333j)
(0.010044381151947475+0j),(-0.0009278352737960305-0.0022683813958765202j),(0.010044381151947475+0j),(-0.0012875892661389791-0.0025217908928877593j)
(0.010053947229235045+0j),(-0.0008285654699668366+0.0013799077851726637j),(0.010053947229235045+0j),(-0.0005270668350206576+0.0013703204358661593j)
(0.010063513306522614+0j),(0.00029576369567771747-0.0005769870614767044j),(0.010063513306522614+0j),(0.00017553448364375848+0.0003033366502887117j)
(0.010073079383810184+0j),(-0.00019612521582438187+0.0015053975493537072j),(0.010073079383810184+0j),(-0.00013378020708705438+0.000749005314704896j)
(0.010082645461097751+0j),(-0.0002530571456879938+1.608072039623352e-05j),(0.010082645461097751+0j),(-0.0008851182385319183+0.0009861122487953421j)
(0.010092211538385321+0j),(-0.002076545523876527+0.0007835668503843877j),(0.010092211538385321+0j),(-0.00048760494662704757+0.00011666683590110013j)
(0.01010177761567289+0j),(-0.00011593667191025676+0.002858919679447952j),(0.01010177761567289+0j),(-0.0006386091621584608+0.001119204762017806j)
(0.01011134369296046+0j),(0.0039027129491377714-0.0019226118780642661j),(0.01011134369296046+0j),(0.0014921372626196978+0.0005541466587707982j)
(0.010120909770248028+0j),(0.0008924408309580399+0.00048047582541965635j),(0.010120909770248028+0j),(0.00018518904614780836+0.0006452635658107063j)
(0.010130475847535597+0j),(0.0010597355546520897-0.0010112568133695769j),(0.010130475847535597+0j),(0.0011580641627336932+0.0006962420308709528j)
(0.010140041924823167+0j),(0.0003455547499830476-0.00019821000343683514j),(0.010140041924823167+0j),(0.0003377170263688434-0.0003539340257560928j)
(0.010149608002110736+0j),(0.0012305588332962374-0.0018741807883666964j),(0.010149608002110736+0j),(-0.00045604381032319385-0.0003876209813294387j)
(0.010159174079398304+0j),(-0.002573847353579983-0.001011357147200418j),(0.010159174079398304+0j),(-0.00040150198188746366+0.00014509376377321655j)
(0.010168740156685873+0j),(-0.005898323400778183+0.002360345526926993j),(0.010168740156685873+0j),(-0.002926828360311762-0.0001529788833968762j)
(0.010178306233973443+0j),(0.003877357037127728-0.00207271189241037j),(0.010178306233973443+0j),(0.001199060670723467+2.788019524126922e-05j)
(0.01018787231126101+0j),(0.0007437418977158831+0.0009290651874990051j),(0.01018787231126101+0j),(0.00018936081594613853+0.000917423391082739j)
(0.01019743838854858+0j),(0.0015046140434499529-0.0005452822251965494j),(0.01019743838854858+0j),(-0.0005663706184131968-0.0005193722522600212j)
(0.01020700446583615+0j),(0.002250619667064331-0.0002156443721147088j),(0.01020700446583615+0j),(-4.8045259580459034e-05+0.0006660058155783289j)
(0.010216570543123719+0j),(0.005102994653692582-0.0004991638753585355j),(0.010216570543123719+0j),(0.0006171075791373892+0.0005451523133809506j)
(0.010226136620411287+0j),(0.005037744869476278-0.0028086813746086717j),(0.010226136620411287+0j),(0.000710517676805541+0.00011385649366710783j)
(0.010235702697698856+0j),(-0.011742632371177683+0.0037386262096309048j),(0.010235702697698856+0j),(-0.004206066087303817-0.0017507435554930313j)
(0.010245268774986426+0j),(-0.0036950445579501455-0.0032959448454940744j),(0.010245268774986426+0j),(-0.0020454241052131677-0.0005877811581691544j)
(0.010254834852273995+0j),(-0.0030033518716012747-0.0005185096797609007j),(0.010254834852273995+0j),(-0.00025827123147015166+0.00023076759756289532j)
(0.010264400929561563+0j),(-0.0018884123730795455-0.0011000162746993111j),(0.010264400929561563+0j),(-0.00046880479030267044-0.00048626858364559245j)
(0.010273967006849133+0j),(-0.003107293087452768-0.0014871064961814529j),(0.010273967006849133+0j),(-0.00016549632633409728-0.0008210436138617784j)
(0.010283533084136702+0j),(0.005206873529957428+0.0009248900012456531j),(0.010283533084136702+0j),(0.0015982501009569904+0.00020185473200618154j)
(0.010293099161424272+0j),(0.02046365968344929-0.005588385546582881j),(0.010293099161424272+0j),(0.0053267003534780075-0.00017954843846041101j)
(0.01030266523871184+0j),(-0.0093196462628747+0.002616428599066398j),(0.01030266523871184+0j),(-0.0027258972177233035+0.0012585727770498885j)
(0.010312231315999409+0j),(-0.0009572513866458073-0.003676262938369527j),(0.010312231315999409+0j),(-0.0003858087088356597-9.138154863836293e-05j)
(0.010321797393286978+0j),(-0.004890790677796283-0.00198303003953009j),(0.010321797393286978+0j),(-0.001684535917684201+0.0006646607650525303j)
(0.010331363470574546+0j),(-0.0028353385212514237-0.0036465720259530915j),(0.010331363470574546+0j),(0.00015364056036363462-0.0005621698745072218j)
(0.010340929547862115+0j),(-0.005335093968666436-0.009887796754855252j),(0.010340929547862115+0j),(-6.220809717290554e-05-0.002047710279645026j)
(0.010350495625149685+0j),(-0.010441844325428317-0.0033125140994830866j),(0.010350495625149685+0j),(-0.001672540493990492-0.0017086322061357487j)
