,X1 Real EU g,X1 0-Z:0-Z,X2 Real EU g,X2 0-Z:0-Z
4375,0.010221003385536736,0.011131765073658147,0.010221003385536736,0.008160099129087427
4376,0.010223339614882034,0.014163831862566659,0.010223339614882034,0.014053974220712149
4377,0.010225675844227334,0.010954170397933847,0.010225675844227334,0.0061875064927690215
4378,0.010228012073572535,-0.0005924632792820025,0.010228012073572535,0.0003083301231361011
4379,0.010230348302917835,-0.011288062756395947,0.010230348302917835,-0.007561617166016826
4380,0.010232684532263135,-0.01443037870482146,0.010232684532263135,-0.017861622172664963
4381,0.010235020761608335,-0.012570265844843454,0.010235020761608335,-0.015681705104356257
4382,0.010237356990953635,-0.004619222899762719,0.010237356990953635,-0.003721703866705413
4383,0.010239693220298935,0.008416924885352435,0.010239693220298935,0.004808275484397316
4384,0.010242029449644134,0.01421380807944576,0.010242029449644134,0.016500514839407055
4385,0.010244365678989434,0.01407551139700306,0.010244365678989434,0.013730520458509646
4386,0.010246701908334635,0.009065632852394038,0.010246701908334635,0.006748352750665323
4387,0.010249038137679935,-0.007540844206402832,0.010249038137679935,-0.0009663444533636033
4388,0.010251374367025235,-0.014680296948097362,0.010251374367025235,-0.013571310544505246
4389,0.010253710596370435,-0.014664996159778062,0.010253710596370435,-0.02058459824737787
4390,0.010256046825715735,-0.012862547689033854,0.010256046825715735,-0.012300349621735542
4391,0.010258383055061035,-0.0010378436588508043,0.010258383055061035,-0.003550421042727812
4392,0.010260719284406234,0.012636068028884853,0.010260719284406234,0.012849681335669843
4393,0.010263055513751534,0.01398537386218776,0.010263055513751534,0.01698102389241796
4394,0.010265391743096835,0.01450128899628846,0.010265391743096835,0.010879742287919138
4395,0.010267727972442034,0.0056124797728504235,0.010267727972442034,0.00860430251124273
4396,0.010270064201787334,-0.01190750376991995,0.010270064201787334,-0.005529265866355319
4397,0.010272400431132634,-0.014759535783291262,0.010272400431132634,-0.014347876704774849
4398,0.010274736660477835,-0.014782288165760162,0.010274736660477835,-0.02002256019665117
4399,0.010277072889823135,-0.01145792714636775,0.010277072889823135,-0.008929553412792732
4400,0.010279409119168435,0.003365905886308714,0.010279409119168435,-0.0008456287187755029
4401,0.010281745348513635,0.014283926886760261,0.010281745348513635,0.017935135324084663
4402,0.010284081577858935,0.013739621129404756,0.010284081577858935,0.010143924966338935
4403,0.010286417807204235,0.013875617677150759,0.010286417807204235,0.010145766386163034
4404,0.010288754036549434,0.0007392865313185031,0.010288754036549434,0.004666262595530717
4405,0.010291090265894734,-0.013070321568789555,0.010291090265894734,-0.006070644374667821
4406,0.010293426495240034,-0.014695129534523562,0.010293426495240034,-0.016033699253815755
4407,0.010295762724585236,-0.014257748455518561,0.010295762724585236,-0.016306083586220654
4408,0.010298098953930534,-0.007435083839638131,0.010298098953930534,-0.006072337832899121
4409,0.010300435183275834,0.007903111085938233,0.010300435183275834,0.004970866914806017
4410,0.010302771412621035,0.01420598985100966,0.010302771412621035,0.01438082353947025
4411,0.010305107641966335,0.014020020802272559,0.010305107641966335,0.005606159454167719
4412,0.010307443871311635,0.010046331881850641,0.010307443871311635,0.007263972441666425
4413,0.010309780100656835,-0.004150297027871617,0.010309780100656835,-0.0007603461406498026
4414,0.010312116330002135,-0.012564020675677653,0.010312116330002135,-0.007592234955638426
4415,0.010314452559347334,-0.01430414874947386,0.010314452559347334,-0.015863557462122157
4416,0.010316788788692634,-0.010338325125403143,0.010316788788692634,-0.00864801058179023
4417,0.010319125018037934,-7.020801765783269e-05,0.010319125018037934,-0.0010415725957463038
4418,0.010321461247383135,0.011150942771832546,0.010321461247383135,0.010260599702422834
4419,0.010323797476728435,0.013774591351749058,0.010323797476728435,0.006105617311175621
4420,0.010326133706073735,0.010849700682948445,0.010326133706073735,0.003976897114036514
4421,0.010328469935418935,0.0013305947887348056,0.010328469935418935,-0.0016106153993840056
4422,0.010330806164764235,-0.00723843223210083,0.010330806164764235,-0.0030004934323783106
4423,0.010333142394109535,-0.010552310731332445,0.010333142394109535,-0.012558276918500543
4424,0.010335478623454734,-0.008529419060560237,0.010335478623454734,-0.007016230194550424
4425,0.010337814852800034,-0.0015392559915888065,0.010337814852800034,-0.0018895587774016066
4426,0.010340151082145334,0.008107115197277436,0.010340151082145334,0.00850378960915213
4427,0.010342487311490534,0.012224922358071452,0.010342487311490534,0.007416716326059525
4428,0.010344823540835834,0.008460998414079936,0.010344823540835834,0.00288586693834521
4429,0.010347159770181134,0.000987606168593904,0.010347159770181134,-0.0029895974650758104
4430,0.010349495999526335,-0.00697824760948513,0.010349495999526335,-0.005426103155737719
4431,0.010351832228871635,-0.00962881779825134,0.010351832228871635,-0.013160328319998546
4432,0.010354168458216935,-0.007801359543054033,0.010354168458216935,-0.007668484856521126
4433,0.010356504687562135,-0.0007779559976210033,0.010356504687562135,-0.00019941300931830067
4434,0.010358840916907435,0.008918378402516138,0.010358840916907435,0.007159756719712324
4435,0.010361177146252735,0.01381870389730106,0.010361177146252735,0.01177198417351764
4436,0.010363513375597934,0.010398896577713644,0.010363513375597934,0.00584032325510232
4437,0.010365849604943234,0.0008849821661636037,0.010365849604943234,-0.0010753737871394037
4438,0.010368185834288534,-0.008532760882537436,0.010368185834288534,-0.005222852527604719
4439,0.010370522063633736,-0.013017747946170555,0.010370522063633736,-0.015909671798574755
4440,0.010372858292979036,-0.011215648768902147,0.010372858292979036,-0.013744469888684847
4441,0.010375194522324334,-0.004516628779265419,0.010375194522324334,-0.0038852508374012133
4442,0.010377530751669535,0.007619373926295832,0.010377530751669535,0.005035612531837117
4443,0.010379866981014835,0.01396773330303266,0.010379866981014835,0.013985086759091249
4444,0.010382203210360035,0.013957894870132059,0.010382203210360035,0.013052086314698844
4445,0.010384539439705335,0.007725756704307233,0.010384539439705335,0.003768670332331813
4446,0.010386875669050635,-0.00720602225661603,0.010386875669050635,-0.002047762390572507
4447,0.010389211898395834,-0.014085413000000258,0.010389211898395834,-0.012166025335642141
4448,0.010391548127741134,-0.014698383413817262,0.010391548127741134,-0.01999667231795027
4449,0.010393884357086434,-0.01172149508504385,0.010393884357086434,-0.010846534090410039
4450,0.010396220586431635,6.442049300518233e-05,0.010396220586431635,-0.002610892738058509
4451,0.010398556815776935,0.012682110358958954,0.010398556815776935,0.012148251584295442
4452,0.010400893045122235,0.01397992637032116,0.010400893045122235,0.016002806601235056
